source_id,filename,category,sensitivity,include_now,drive_id,drive_url,direct_download_url,target_subfolder,notes
pdf_github_repo_audit_2026_primary,github_repo_audit_22_may_2026.pdf,01-core-audits,private-medium,yes,17v1qRaFI6Ia4xxatgo6ITeuFNIa9picM,https://drive.google.com/file/d/17v1qRaFI6Ia4xxatgo6ITeuFNIa9picM/view,https://drive.google.com/uc?export=download&id=17v1qRaFI6Ia4xxatgo6ITeuFNIa9picM,pdfs\01-core-audits,Primary/latest Drive copy found. Core repo audit for JoshOS Atlas.
pdf_github_repo_audit_2026_duplicate,github_repo_audit_22_may_2026_DUPLICATE.pdf,99-duplicates-review,private-medium,optional,1zs2lhjv4tpdFMRx9JBuJjz80kOPBSdmg,https://drive.google.com/file/d/1zs2lhjv4tpdFMRx9JBuJjz80kOPBSdmg/view,https://drive.google.com/uc?export=download&id=1zs2lhjv4tpdFMRx9JBuJjz80kOPBSdmg,pdfs\99-duplicates-review,Older/duplicate copy; keep only if needed for comparison.
pdf_family_public_threat_model,family_public_information_threat_model.pdf,02-privacy-security,private-high,yes,1DkvtpKVYp_TjexKrYfiFmxbna40wPhdg,https://drive.google.com/file/d/1DkvtpKVYp_TjexKrYfiFmxbna40wPhdg/view,https://drive.google.com/uc?export=download&id=1DkvtpKVYp_TjexKrYfiFmxbna40wPhdg,pdfs\02-privacy-security,"Core privacy threat model; use for rules, not public app content."
pdf_sylvie_privacy_audit,sylvie_child_privacy_osint_audit.pdf,02-privacy-security,private-high,yes,1t5vQmpMgi-kPDNAHe_jH6kxYUP0J8ePd,https://drive.google.com/file/d/1t5vQmpMgi-kPDNAHe_jH6kxYUP0J8ePd/view,https://drive.google.com/uc?export=download&id=1t5vQmpMgi-kPDNAHe_jH6kxYUP0J8ePd,pdfs\02-privacy-security,Child privacy audit; private only; use to create privacy risks and naming rules.
pdf_elias_privacy_audit,elias_child_privacy_osint_audit.pdf,02-privacy-security,private-high,yes,11ofYRrINLM4NR2Yq68aHxBAI4-b9BLFs,https://drive.google.com/file/d/11ofYRrINLM4NR2Yq68aHxBAI4-b9BLFs/view,https://drive.google.com/uc?export=download&id=11ofYRrINLM4NR2Yq68aHxBAI4-b9BLFs,pdfs\02-privacy-security,Child privacy audit; private only; use to create privacy risks and naming rules.
pdf_joshua_parris_public_osint_audit_1,joshua_parris_public_osint_audit.pdf,02-privacy-security,private-high,yes,1NbZjNHd7a9uqvsB09Z-U8fFN1O_iJfgw,https://drive.google.com/file/d/1NbZjNHd7a9uqvsB09Z-U8fFN1O_iJfgw/view,https://drive.google.com/uc?export=download&id=1NbZjNHd7a9uqvsB09Z-U8fFN1O_iJfgw,pdfs\02-privacy-security,Public OSINT/privacy audit copy.
pdf_joshua_parris_public_osint_audit_2,Joshua_Parris_OSINT_Audit.pdf,02-privacy-security,private-high,optional,1WBmTIK9t_voliNFvp0KQtL5N7se_DAtO,https://drive.google.com/file/d/1WBmTIK9t_voliNFvp0KQtL5N7se_DAtO/view,https://drive.google.com/uc?export=download&id=1WBmTIK9t_voliNFvp0KQtL5N7se_DAtO,pdfs\02-privacy-security,Possible duplicate/alternate OSINT audit; review before including.
pdf_sylvie_elias_app_design_research_primary,SylvieElias_AppDesign_Research.pdf,03-app-project-research,private-high,yes,1W39Np4QXSF1ivtvWz0773NPStQq2oO9p,https://drive.google.com/file/d/1W39Np4QXSF1ivtvWz0773NPStQq2oO9p/view,https://drive.google.com/uc?export=download&id=1W39Np4QXSF1ivtvWz0773NPStQq2oO9p,pdfs\03-app-project-research,Latest kids/family app design research found; private only.
pdf_sylvie_elias_app_design_research_duplicate,SylvieElias_AppDesign_Research_DUPLICATE.pdf,99-duplicates-review,private-high,optional,1LXa6D3Ustb3SHLloTQY62TWp26Fw8rk0,https://drive.google.com/file/d/1LXa6D3Ustb3SHLloTQY62TWp26Fw8rk0/view,https://drive.google.com/uc?export=download&id=1LXa6D3Ustb3SHLloTQY62TWp26Fw8rk0,pdfs\99-duplicates-review,Duplicate/older copy.
pdf_vibe_coding_income_report_2026,vibe_coding_income_report_2026.pdf,03-app-project-research,private-medium,yes,10oHqjU3jaHqoy3PiBH8u5-0J2ve5dawL,https://drive.google.com/file/d/10oHqjU3jaHqoy3PiBH8u5-0J2ve5dawL/view,https://drive.google.com/uc?export=download&id=10oHqjU3jaHqoy3PiBH8u5-0J2ve5dawL,pdfs\03-app-project-research,Passive income/app idea research; useful for app prioritisation.
