"FullName","Name","Mode","Length","LastWriteTime"
"C:\dev\joshos-atlas\chatgpt","chatgpt","d-----",,"10/06/2026 7:44:53 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit","joshos-atlas-pdf-download-kit","d-----",,"10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep","joshos-atlas-prep","d-----",,"10/06/2026 7:50:10 PM"
"C:\dev\joshos-atlas\chatgpt.zip","chatgpt.zip","-a----","37786","10/06/2026 7:44:47 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit.zip","joshos-atlas-pdf-download-kit.zip","-a----","18325","10/06/2026 7:54:27 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep.zip","joshos-atlas-prep.zip","-a----","49420","10/06/2026 7:44:05 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep","joshos-atlas-prep","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\approved-for-fable","approved-for-fable","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft","architecture-draft","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists","checklists","d-----",,"10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers","download-helpers","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\excluded-private","excluded-private","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output","fable-output","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\history","history","d-----",,"10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\notes","notes","d-----",,"10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit","pdf-download-kit","d-----",,"10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdfs","pdfs","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\raw-inventory","raw-inventory","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts","scripts","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards","source-cards","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists","source-lists","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\00_SECURITY_PRECHECK.md","00_SECURITY_PRECHECK.md","-a----","378","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\01_PERSONAL_CONTEXT.md","01_PERSONAL_CONTEXT.md","-a----","913","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\02_PRIVACY_BOUNDARIES.md","02_PRIVACY_BOUNDARIES.md","-a----","841","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\03_CANONICAL_GOALS.md","03_CANONICAL_GOALS.md","-a----","330","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\04_SOURCE_REGISTER.csv","04_SOURCE_REGISTER.csv","-a----","9605","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\05_SEED_DATA_FORMAT.md","05_SEED_DATA_FORMAT.md","-a----","2193","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\06_FABLE_SESSION.md","06_FABLE_SESSION.md","-a----","14107","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MANIFEST.md","MANIFEST.md","-a----","2067","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MASTER_PLAN_V6.md","MASTER_PLAN_V6.md","-a----","5405","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\PDF_LINKS.csv","PDF_LINKS.csv","-a----","13323","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\PDF_LINKS.html","PDF_LINKS.html","-a----","16630","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\PDF_LINKS.md","PDF_LINKS.md","-a----","17756","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\README.md","README.md","-a----","949","10/06/2026 7:44:53 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\REPO_LINKS.md","REPO_LINKS.md","-a----","2608","10/06/2026 7:54:43 PM"
