"Group","Title","Url","SaveTo","Sensitivity","Notes"
"01-core-docs","Josh App Links","https://docs.google.com/document/d/1rYeeXqK6QBZx1upwHdtzzoXSwxNLHz7_omcooqhUKIM","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-docs","private-medium","Export/download as Google Doc text or PDF."
"01-core-docs","Josh App Links.txt","https://drive.google.com/file/d/1SWOAwpYH-M8rqyobJAtWti1OiLS7WGzv","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-docs","private-medium","Download text file."
"01-core-docs","JoshOS Atlas v6 Master Plan","https://docs.google.com/document/d/1bA9G1rRE8Nl5dddRhbBYkQ0cjlAEpmvFtMD5aqhGb_o","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-docs","private-low","Export/download as doc or PDF."
"01-core-docs","ChatGPT Codex VSCode Instructions","https://docs.google.com/document/d/1MEev7XmYp4T_tsiEhTV1PB5ujl04m7Dz1obmN7nhYpo","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-docs","private-low","Coding assistant context."
"01-core-docs","Josh Everything Map Table of Contents","https://docs.google.com/document/d/1zv-VT04mG7SmM5B3MuHhwypXO5IsvyY6zyR_TBWaHZQ","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-docs","private-medium","Overall map context."
"02-core-pdfs","github_repo_audit_22_may_2026.pdf","https://drive.google.com/file/d/17v1qRaFI6Ia4xxatgo6ITeuFNIa9picM","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-pdfs","private-medium","Core repo audit."
"02-core-pdfs","github_repo_audit_22_may_2026 duplicate","https://drive.google.com/file/d/1zs2lhjv4tpdFMRx9JBuJjz80kOPBSdmg","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-pdfs","private-medium","Duplicate/copy; download only if needed."
"02-core-pdfs","dcsprep-qa-audit.pdf","https://drive.google.com/file/d/1JrttRasK7KTLVLkCF1CtzJSwDMWNy_C2","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-pdfs","private-medium","DCS app audit; no student/staff data to Fable."
"02-core-pdfs","DCS PD Apps Audit.pdf","https://drive.google.com/file/d/1lS_nkTqNlULwbybvU57w_WCYCcSnPgbK","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-pdfs","private-medium","Work app audit; sample data only."
"02-core-pdfs","vibe_coding_income_report_2026.pdf","https://drive.google.com/file/d/10oHqjU3jaHqoy3PiBH8u5-0J2ve5dawL","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-pdfs","private-low","Income/app strategy context."
"03-private-review","family_public_information_threat_model.pdf","https://drive.google.com/file/d/1DkvtpKVYp_TjexKrYfiFmxbna40wPhdg","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Privacy report; summarise before Fable."
"03-private-review","joshua_parris_public_osint_audit.pdf","https://drive.google.com/file/d/1NbZjNHd7a9uqvsB09Z-U8fFN1O_iJfgw","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","OSINT/privacy; summarise before Fable."
"03-private-review","Joshua_Parris_OSINT_Audit.pdf","https://drive.google.com/file/d/1WBmTIK9t_voliNFvp0KQtL5N7se_DAtO","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","OSINT/privacy; summarise before Fable."
"03-private-review","SylvieElias_AppDesign_Research.pdf","https://drive.google.com/file/d/1W39Np4QXSF1ivtvWz0773NPStQq2oO9p","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Child/family app context; summarise first."
"03-private-review","Screen_Related_Blurry_Vision_Research_Report.pdf","https://drive.google.com/file/d/1DC1dl7gg-r4tslLFO66nDGlHtnyMx08q","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Health-related; summarise only."
"03-private-review","sylvie_child_privacy_osint_audit.pdf","https://drive.google.com/file/d/1t5vQmpMgi-kPDNAHe_jH6kxYUP0J8ePd","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Do not raw-upload; make privacy risk card."
"03-private-review","elias_child_privacy_osint_audit.pdf","https://drive.google.com/file/d/11ofYRrINLM4NR2Yq68aHxBAI4-b9BLFs","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Do not raw-upload; make privacy risk card."
"03-private-review","Mould_Escalation_Report_101_Boundary_Road_Dubbo.pdf","https://drive.google.com/file/d/1hF67ndLOAe9vQtAne8Ansd8QaBm9AzHy","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Tenancy/legal; source-card summarise only."
"03-private-review","Sylvie Combined NDIS Notes latest","https://drive.google.com/file/d/1VYCgtQxXTSXcNdxsaTF5GKmEfx7Vbb5o","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","NDIS/child; do not raw-upload."
"03-private-review","Sylvie Family Report April 2026","https://drive.google.com/file/d/1h_Ksi7UahbvbIBBBGlJY5ceQOpxVJi3w","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","Child/family; do not raw-upload."
"03-private-review","NDIS Plan Approval Sylvie Parris.pdf","https://drive.google.com/file/d/1hLaZOvZB9aau-4s4mlMjtsK2mKTHmx7s","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private\source-pdfs-private-review","private-high","NDIS; do not raw-upload."
"04-github-repos","GitHub repo: JoshHub","https://github.com/joshualparris/JoshHub","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Download thin pack manually if needed."
"04-github-repos","GitHub repo: AppFactory","https://github.com/joshuaparris-max/AppFactory","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","CI failures exist."
