"FullName","Name","Mode","LastWriteTime"
"C:\dev\.next",".next","d-----","9/06/2026 8:17:44 PM"
"C:\dev\AIDM","AIDM","d-----","7/06/2026 8:01:50 PM"
"C:\dev\Chess","Chess","d-----","8/06/2026 3:23:38 PM"
"C:\dev\EliasApp","EliasApp","d-----","4/06/2026 8:54:09 PM"
"C:\dev\GROQCHAT","GROQCHAT","d-----","9/06/2026 8:16:52 PM"
"C:\dev\GROQCHAT2","GROQCHAT2","d-----","9/06/2026 11:02:17 PM"
"C:\dev\joshos-atlas","joshos-atlas","d-----","10/06/2026 7:54:42 PM"
"C:\dev\Money","Money","d-----","9/06/2026 6:57:18 PM"
"C:\dev\Research","Research","d-----","4/06/2026 9:01:01 PM"
"C:\dev\Sleepy","Sleepy","d-----","4/06/2026 8:55:27 PM"
"C:\dev\SunglassHut","SunglassHut","d-----","9/06/2026 10:18:41 AM"
"C:\dev\SylvieApp","SylvieApp","d-----","4/06/2026 8:52:06 PM"
"C:\dev\SylviePhonetics","SylviePhonetics","d-----","4/06/2026 8:53:37 PM"
"C:\dev\_Research","_Research","d-----","4/06/2026 11:14:32 PM"
"C:\dev\github_homepage_check.py","github_homepage_check.py","-a----","9/06/2026 8:55:06 PM"
"C:\dev\AIDM\.data",".data","d-----","9/06/2026 8:16:45 PM"
"C:\dev\AIDM\.git",".git","da-h--","9/06/2026 10:16:31 PM"
"C:\dev\AIDM\.github",".github","d-----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\.next",".next","da----","9/06/2026 10:58:58 PM"
"C:\dev\AIDM\content","content","d-----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\docs","docs","d-----","6/06/2026 9:19:35 PM"
"C:\dev\AIDM\node_modules","node_modules","da----","6/06/2026 9:22:51 PM"
"C:\dev\AIDM\public","public","d-----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\scripts","scripts","d-----","6/06/2026 9:19:55 PM"
"C:\dev\AIDM\src","src","d-----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\.gitignore",".gitignore","-a----","9/06/2026 8:51:12 PM"
"C:\dev\AIDM\.npmrc",".npmrc","-a----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\AIDM.code-workspace","AIDM.code-workspace","-a----","7/06/2026 8:01:50 PM"
"C:\dev\AIDM\env.example","env.example","-a----","6/06/2026 8:28:53 PM"
"C:\dev\AIDM\eslint.config.mjs","eslint.config.mjs","-a----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\next-env.d.ts","next-env.d.ts","-a----","6/06/2026 7:29:39 PM"
"C:\dev\AIDM\next.config.ts","next.config.ts","-a----","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\package.json","package.json","-a----","6/06/2026 9:19:15 PM"
