"Path","LineNumber","Pattern","Note"
"C:\dev\AIDM\README.md","47","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","48","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","72","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","73","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","40","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","41","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","66","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","67","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","54","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","55","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","69","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\README.md","70","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\ai-dm-app-gaps-and-next-steps.md","210","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\ai-dm-app-gaps-and-next-steps.md","287","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\ai-dm-app-gaps-and-next-steps.md","210","ANTHROPIC_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\audit-2026-06-02.md","20","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\audit-2026-06-02.md","20","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\autonomous-upgrade-sprint-report.md","107","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\deploy-checklist.md","21","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\deploy-checklist.md","21","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\deploy-checklist.md","21","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\groq-vercel-setup.md","11","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\groq-vercel-setup.md","12","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\groq-vercel-setup.md","15","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\groq-vercel-setup.md","16","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\groq-vercel-setup.md","18","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\PartyQuest_V0_PreCoding_Decision_Register.md","212","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\PartyQuest_V0_PreCoding_Decision_Register.md","974","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\docs\skt-playbook.md","74","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\scripts\live-groq-smoke.ts","5","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\scripts\live-groq-smoke.ts","6","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\scripts\live-groq-smoke.ts","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","40","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","41","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","45","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","46","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","50","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\credentials.ts","51","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","18","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","19","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","20","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","25","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","26","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","32","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","33","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\lib\llm\provider.ts","34","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","35","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","44","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","55","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","56","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","13","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","20","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","42","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","51","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","52","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","43","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","53","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\credentials.test.ts","54","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","32","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","35","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","41","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","43","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","44","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","50","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","52","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","53","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
