"FullName","Length","LastWriteTime"
"C:\dev\AIDM\vercel.json","119","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\public\vercel.svg","128","6/06/2026 7:19:52 PM"
"C:\dev\AIDM\src\lib\llm\credentials.ts","2061","6/06/2026 9:19:47 PM"
"C:\dev\AIDM\src\test\credentials.test.ts","2604","6/06/2026 7:19:52 PM"
"C:\dev\Chess\chess-postgame-review\.env.example","49","7/06/2026 11:20:01 PM"
"C:\dev\Chess\codex-chrome-review-check\TrustTokenKeyCommitments\2026.3.23.1\keys.json","8756","23/03/2026 5:11:18 PM"
"C:\dev\Chess\github-current\.env.example","49","7/06/2026 11:23:16 PM"
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\.env.example","49","9/06/2026 11:07:28 PM"
"C:\dev\GROQCHAT\.env.example","67","6/06/2026 9:56:43 PM"
"C:\dev\GROQCHAT\lib\groq.ts","2970","6/06/2026 10:07:09 PM"
"C:\dev\GROQCHAT2\.env.example","64","6/06/2026 10:36:43 PM"
"C:\dev\GROQCHAT2\src\lib\groq.ts","5026","9/06/2026 8:55:06 PM"
"C:\dev\Money\moneyapp2\vercel.json","176","9/06/2026 7:14:16 PM"
"C:\dev\SunglassHut\interview2\vercel.json","125","9/06/2026 12:16:36 PM"
"C:\dev\SylvieApp\SylvieApp\vercel.json","96","4/06/2026 9:50:08 PM"
"C:\dev\SylviePhonetics\SylviePhonetics\vercel.json","363","4/06/2026 8:53:38 PM"
